City,Commute_Route,Commute_Distance_miles,Commute_Time_mins,Mode_of_Commute,Daily_Cost,Monthly_Cost,Cost_per_Mile,Value_Tier,Carbon_Impact,Best_Value_Rank,Worst_Value_Reason,Avg_Delay_mins,Commute_Type
Edinburgh,Dunfermline - Edinburgh,30.3,53,Driving,17.69,389.18,0.58,Moderate,13.9,2,Mild delays,4,Intercity
Glasgow,Paisley - Glasgow,26,46,Driving,8.4,184.8,0.32,Cost-Effective,8.2,1,N/A,15,Intercity
Glasgow,East Kilbride - Glasgow,5.7,10,Train,26.63,585.86,4.67,Expensive,14.5,5,High fare,16,Urban
Liverpool,St Helens - Liverpool,38.2,62,Train,16.19,356.18,0.42,Moderate,8.1,2,Mild delays,10,Intercity
Nottingham,Beeston - Nottingham,10.5,40,Driving,15.31,336.82,1.46,Expensive,7.4,3,Long duration,14,Suburban
Bristol,Weston-super-Mare - Bristol,41.6,102,Driving,11.86,260.92,0.29,Expensive,9.1,5,Long duration,0,Intercity
Liverpool,Birkenhead - Liverpool,25.8,47,Driving,14.44,317.68,0.56,Moderate,8,4,Mild delays,8,Intercity
Glasgow,East Kilbride - Glasgow,20.6,43,Driving,10.04,220.88,0.49,Moderate,8.8,3,Moderate fare,13,Intercity
Sheffield,Rotherham - Sheffield,33.8,110,Bus,4.86,106.92,0.14,Expensive,4.7,4,High fare,10,Intercity
Edinburgh,Livingston - Edinburgh,42.5,46,Train,31.98,703.56,0.75,Expensive,10.1,4,Long duration,18,Intercity
Edinburgh,Livingston - Edinburgh,6.2,86,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Urban
Manchester,Stockport - Manchester,7.1,10,Driving,12.95,284.9,1.82,Expensive,10.8,5,High fare,17,Urban
Leeds,Bradford - Leeds,18.4,32,Driving,7.05,155.1,0.38,Cost-Effective,11.8,2,N/A,19,Intercity
Leeds,Wakefield - Leeds,24.8,52,Driving,15.64,344.08,0.63,Moderate,9.5,4,Mild delays,17,Intercity
Leeds,Wakefield - Leeds,14.9,52,Bus,6.17,135.74,0.41,Moderate,3.1,3,Mild delays,4,Suburban
Liverpool,Birkenhead - Liverpool,28.6,48,Train,20.83,458.26,0.73,Expensive,8.9,4,Congestion,4,Intercity
Sheffield,Rotherham - Sheffield,41.7,49,Train,26.26,577.72,0.63,Moderate,16.7,3,Mild delays,14,Intercity
Liverpool,St Helens - Liverpool,34.3,134,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Edinburgh,Livingston - Edinburgh,37.3,131,Bus,7.1,156.2,0.19,Expensive,3,4,High fare,16,Intercity
Manchester,Stockport - Manchester,24.6,61,Driving,9.1,200.2,0.37,Cost-Effective,13.9,1,N/A,3,Intercity
Edinburgh,Livingston - Edinburgh,42.8,95,Driving,6.48,142.56,0.15,Expensive,11.6,4,Long duration,5,Intercity
Birmingham,Solihull - Birmingham,16.9,26,Train,37.73,830.06,2.23,Expensive,17.7,5,Congestion,10,Intercity
Sheffield,Chesterfield - Sheffield,42.8,99,Driving,17.82,392.04,0.42,Expensive,8.6,5,Long duration,12,Intercity
Nottingham,Beeston - Nottingham,38.2,56,Train,11.11,244.42,0.29,Cost-Effective,14,1,N/A,19,Intercity
Manchester,Stockport - Manchester,14.2,15,Driving,16.15,355.3,1.14,Expensive,6.5,4,Congestion,10,Suburban
Sheffield,Rotherham - Sheffield,17.6,50,Driving,13.55,298.1,0.77,Expensive,12.3,3,Long duration,16,Intercity
Nottingham,West Bridgford - Nottingham,17.8,46,Driving,14.62,321.64,0.82,Expensive,7.9,5,High fare,8,Intercity
Liverpool,St Helens - Liverpool,6,15,Driving,18.18,399.96,3.03,Expensive,6.2,3,Congestion,8,Urban
Birmingham,Wolverhampton - Birmingham,40,67,Train,33.96,747.12,0.85,Expensive,18,4,High fare,18,Intercity
London,Croydon - London,19,57,Bus,6.6,145.2,0.35,Cost-Effective,3.6,1,N/A,4,Intercity
Glasgow,Paisley - Glasgow,24.2,59,Driving,19.78,435.16,0.82,Expensive,12.1,4,High fare,10,Intercity
Leeds,Bradford - Leeds,21.7,47,Driving,11.9,261.8,0.55,Moderate,11.9,3,Moderate fare,10,Intercity
Edinburgh,Dunfermline - Edinburgh,14.6,25,Driving,10.02,220.44,0.69,Moderate,8.4,3,Mild delays,2,Suburban
Bristol,Bath - Bristol,14.3,18,Driving,6.59,144.98,0.46,Moderate,6.1,3,Moderate fare,7,Suburban
Manchester,Stockport - Manchester,44.5,65,Driving,15.52,341.44,0.35,Cost-Effective,7.7,2,N/A,9,Intercity
Leeds,Bradford - Leeds,43,71,Driving,17.01,374.22,0.4,Cost-Effective,6.7,1,N/A,4,Intercity
Liverpool,St Helens - Liverpool,21.7,71,Driving,8.34,183.48,0.38,Cost-Effective,13.9,2,N/A,4,Intercity
Glasgow,East Kilbride - Glasgow,14.3,50,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Suburban
Manchester,Stockport - Manchester,42.7,180,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Edinburgh,Livingston - Edinburgh,25.5,180,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Leeds,Bradford - Leeds,14.2,16,Train,15.59,342.98,1.1,Expensive,15.8,4,High fare,13,Suburban
Sheffield,Chesterfield - Sheffield,19,70,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Glasgow,East Kilbride - Glasgow,7.3,10,Train,32.75,720.5,4.49,Expensive,15,5,High fare,18,Urban
Leeds,Bradford - Leeds,11.2,10,Driving,17.42,383.24,1.56,Expensive,7.8,4,Congestion,14,Suburban
Liverpool,St Helens - Liverpool,14,56,Driving,14.12,310.64,1.01,Expensive,6.7,4,High fare,19,Suburban
Sheffield,Chesterfield - Sheffield,40.1,69,Train,17.97,395.34,0.45,Moderate,9.3,3,Moderate fare,3,Intercity
Sheffield,Chesterfield - Sheffield,40.5,66,Train,26.53,583.66,0.66,Moderate,8.9,4,Mild delays,0,Intercity
Liverpool,St Helens - Liverpool,21.3,96,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Birmingham,Wolverhampton - Birmingham,19.9,38,Train,24.88,547.36,1.25,Expensive,8.8,4,Congestion,7,Intercity
London,Croydon - London,13.8,27,Bus,6.1,134.2,0.44,Moderate,2.3,2,Moderate fare,15,Suburban
Edinburgh,Livingston - Edinburgh,39,36,Driving,14.29,314.38,0.37,Cost-Effective,12.6,1,N/A,19,Intercity
Nottingham,Beeston - Nottingham,18.9,19,Train,30.34,667.48,1.61,Expensive,13.7,4,High fare,0,Intercity
Birmingham,Wolverhampton - Birmingham,15.7,25,Train,29.75,654.5,1.89,Expensive,16.5,4,Long duration,17,Intercity
Bristol,Bath - Bristol,39.7,83,Driving,15.92,350.24,0.4,Cost-Effective,12.7,1,N/A,3,Intercity
Leeds,Bradford - Leeds,32.9,113,Bus,6.52,143.44,0.2,Expensive,2.6,4,Long duration,5,Intercity
Bristol,Bath - Bristol,40.2,143,Bus,7.23,159.06,0.18,Expensive,2.1,3,Congestion,6,Intercity
Nottingham,West Bridgford - Nottingham,38,53,Train,32.31,710.82,0.85,Expensive,9.6,3,Congestion,9,Intercity
Birmingham,Solihull - Birmingham,37.7,48,Train,34.96,769.12,0.93,Expensive,13.1,5,High fare,16,Intercity
Leeds,Bradford - Leeds,5.3,20,Driving,19.74,434.28,3.72,Expensive,11.1,5,Long duration,15,Urban
London,Slough - London,15.4,23,Bus,5.8,127.6,0.38,Cost-Effective,4.2,2,N/A,20,Intercity
Edinburgh,Livingston - Edinburgh,36.2,75,Driving,13.58,298.76,0.38,Cost-Effective,13.7,2,N/A,2,Intercity
Nottingham,Beeston - Nottingham,18.7,24,Train,28.98,637.56,1.55,Expensive,17.3,5,Congestion,7,Intercity
Bristol,Weston-super-Mare - Bristol,9.1,29,Bus,2.41,53.02,0.26,Cost-Effective,3.2,2,N/A,18,Suburban
Bristol,Bath - Bristol,33.3,54,Train,12.02,264.44,0.36,Cost-Effective,13.8,2,N/A,9,Intercity
Leeds,Wakefield - Leeds,18.8,180,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
London,Slough - London,39.9,81,Driving,19.63,431.86,0.49,Moderate,13.8,3,Moderate fare,12,Intercity
London,Slough - London,35,180,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Edinburgh,Dunfermline - Edinburgh,6,10,Bus,2.13,46.86,0.35,Cost-Effective,3.3,2,N/A,5,Urban
Manchester,Altrincham - Manchester,24.5,57,Driving,12.24,269.28,0.5,Moderate,8.2,2,Mild delays,14,Intercity
Nottingham,Beeston - Nottingham,44.9,150,Bus,4.56,100.32,0.1,Expensive,3.8,3,Congestion,17,Intercity
London,Slough - London,11.5,30,Driving,9.09,199.98,0.79,Expensive,6.7,3,High fare,3,Suburban
Glasgow,Paisley - Glasgow,32.2,76,Driving,15.16,333.52,0.47,Moderate,8.2,3,Mild delays,8,Intercity
Bristol,Bath - Bristol,43,169,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Nottingham,Beeston - Nottingham,42.7,52,Train,22.59,496.98,0.53,Moderate,14.4,3,Mild delays,13,Intercity
Glasgow,Paisley - Glasgow,20.9,40,Train,16.9,371.8,0.81,Expensive,10.1,5,Long duration,19,Intercity
Bristol,Bath - Bristol,6.2,10,Driving,15.12,332.64,2.44,Expensive,8.9,5,Congestion,15,Urban
London,Slough - London,39.6,64,Train,15.57,342.54,0.39,Cost-Effective,16.7,1,N/A,8,Intercity
Bristol,Weston-super-Mare - Bristol,36.1,53,Train,33.13,728.86,0.92,Expensive,16.4,3,High fare,16,Intercity
Liverpool,Birkenhead - Liverpool,35.4,43,Train,10.98,241.56,0.31,Cost-Effective,17.2,2,N/A,9,Intercity
Edinburgh,Dunfermline - Edinburgh,29.7,47,Train,33.9,745.8,1.14,Expensive,12.8,3,Long duration,19,Intercity
Sheffield,Chesterfield - Sheffield,9.7,23,Driving,12.02,264.44,1.24,Expensive,7.6,5,Congestion,2,Suburban
Leeds,Bradford - Leeds,24.7,29,Train,11.93,262.46,0.48,Moderate,13.8,3,Moderate fare,11,Intercity
Sheffield,Chesterfield - Sheffield,15.8,17,Train,23.66,520.52,1.5,Expensive,8.1,5,High fare,14,Intercity
Leeds,Bradford - Leeds,7.9,41,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Urban
Leeds,Bradford - Leeds,20.7,99,Bus,3.75,82.5,0.18,Expensive,4.8,3,Congestion,13,Intercity
Leeds,Bradford - Leeds,39.4,110,Bus,6.68,146.96,0.17,Expensive,2.2,4,High fare,2,Intercity
Liverpool,St Helens - Liverpool,24.2,33,Train,39.6,871.2,1.64,Expensive,9.4,5,High fare,12,Intercity
Leeds,Bradford - Leeds,25,33,Train,28.54,627.88,1.14,Expensive,15,5,Long duration,11,Intercity
Leeds,Bradford - Leeds,27.4,100,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Edinburgh,Dunfermline - Edinburgh,19,28,Train,11,242,0.58,Moderate,8.8,2,Mild delays,14,Intercity
London,Croydon - London,20.9,33,Train,30.68,674.96,1.47,Expensive,16,3,Long duration,7,Intercity
Bristol,Bath - Bristol,13,10,Train,15.02,330.44,1.16,Expensive,9,4,Congestion,4,Suburban
Liverpool,Birkenhead - Liverpool,30.5,140,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Nottingham,Beeston - Nottingham,39.8,63,Train,31.42,691.24,0.79,Expensive,16,4,High fare,3,Intercity
Birmingham,Solihull - Birmingham,18.6,75,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Glasgow,Paisley - Glasgow,37.7,66,Train,23.57,518.54,0.63,Moderate,14.4,4,Mild delays,17,Intercity
Manchester,Altrincham - Manchester,26.1,35,Train,11.81,259.82,0.45,Moderate,10.5,4,Moderate fare,4,Intercity
London,Reading - London,11.4,37,Bus,7.23,159.06,0.63,Moderate,2.9,3,Moderate fare,18,Suburban
Nottingham,Beeston - Nottingham,44,75,Driving,17.06,375.32,0.39,Cost-Effective,11.3,1,N/A,2,Intercity
London,Reading - London,24.9,43,Driving,13.78,303.16,0.55,Moderate,11.8,3,Mild delays,13,Intercity
Liverpool,Birkenhead - Liverpool,14.1,10,Train,30.41,669.02,2.16,Expensive,8.7,3,Congestion,20,Suburban
Sheffield,Chesterfield - Sheffield,6.2,19,Driving,9.61,211.42,1.55,Expensive,9.7,3,Long duration,10,Urban
London,Reading - London,39.7,90,Driving,11.96,263.12,0.3,Cost-Effective,8.8,1,N/A,1,Intercity
Manchester,Altrincham - Manchester,19.8,50,Driving,19.83,436.26,1,Expensive,6.3,5,High fare,8,Intercity
Nottingham,West Bridgford - Nottingham,39.7,143,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Edinburgh,Livingston - Edinburgh,34,132,Bus,4.92,108.24,0.14,Expensive,5.5,4,High fare,20,Intercity
Nottingham,West Bridgford - Nottingham,41,45,Train,27.77,610.94,0.68,Moderate,17.1,2,Mild delays,12,Intercity
London,Reading - London,13.4,19,Driving,14.72,323.84,1.1,Expensive,11.1,5,Long duration,14,Suburban
London,Slough - London,34.3,55,Train,37.27,819.94,1.09,Expensive,9.8,3,Congestion,8,Intercity
Edinburgh,Dunfermline - Edinburgh,14.5,14,Train,39.14,861.08,2.7,Expensive,9.8,5,Congestion,15,Suburban
London,Croydon - London,39.2,180,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Manchester,Altrincham - Manchester,39.8,59,Train,23.36,513.92,0.59,Moderate,13.1,3,Moderate fare,0,Intercity
Liverpool,Birkenhead - Liverpool,19.4,180,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Nottingham,West Bridgford - Nottingham,20.6,34,Train,39.08,859.76,1.9,Expensive,10.6,5,High fare,19,Intercity
Bristol,Weston-super-Mare - Bristol,31.3,75,Driving,7.83,172.26,0.25,Cost-Effective,13.8,2,N/A,3,Intercity
Edinburgh,Dunfermline - Edinburgh,23.2,27,Train,17.08,375.76,0.74,Expensive,8.7,5,High fare,14,Intercity
London,Reading - London,11.8,10,Driving,17.6,387.2,1.49,Expensive,9.4,5,Long duration,0,Suburban
Glasgow,Paisley - Glasgow,14.9,24,Train,28.51,627.22,1.91,Expensive,15.1,5,Long duration,14,Suburban
London,Reading - London,11.7,26,Train,24.24,533.28,2.07,Expensive,16.4,4,High fare,9,Suburban
Nottingham,Beeston - Nottingham,37.2,68,Train,27.56,606.32,0.74,Expensive,16.7,4,Congestion,6,Intercity
Glasgow,Paisley - Glasgow,13.2,16,Train,11.71,257.62,0.89,Expensive,13.3,4,Long duration,0,Suburban
Edinburgh,Livingston - Edinburgh,42.5,78,Driving,6.55,144.1,0.15,Cost-Effective,7,2,N/A,8,Intercity
London,Reading - London,23.1,32,Train,25.22,554.84,1.09,Expensive,8.4,4,High fare,3,Intercity
Birmingham,Solihull - Birmingham,10.9,39,Bus,7.92,174.24,0.73,Expensive,5.9,5,High fare,0,Suburban
Glasgow,Paisley - Glasgow,5.2,17,Bus,7.21,158.62,1.39,Expensive,3.8,5,Congestion,19,Urban
Manchester,Altrincham - Manchester,25.6,42,Train,24.67,542.74,0.96,Expensive,14.7,3,Long duration,4,Intercity
London,Croydon - London,10.6,10,Train,30.2,664.4,2.85,Expensive,17.7,4,Congestion,3,Suburban
Edinburgh,Livingston - Edinburgh,8.8,25,Driving,15.42,339.24,1.75,Expensive,9.6,5,High fare,3,Suburban
Manchester,Altrincham - Manchester,39.7,85,Driving,17.73,390.06,0.45,Moderate,13.6,2,Moderate fare,14,Intercity
Manchester,Stockport - Manchester,32.3,39,Train,24.92,548.24,0.77,Expensive,14.2,5,Congestion,4,Intercity
Bristol,Weston-super-Mare - Bristol,39.8,74,Driving,19.03,418.66,0.48,Moderate,11.5,4,Moderate fare,13,Intercity
Liverpool,Birkenhead - Liverpool,32.1,48,Train,16.47,362.34,0.51,Moderate,14.6,4,Moderate fare,17,Intercity
Manchester,Altrincham - Manchester,20.8,23,Train,29.74,654.28,1.43,Expensive,18,4,Long duration,5,Intercity
Bristol,Weston-super-Mare - Bristol,6.9,13,Train,39.32,865.04,5.7,Expensive,12.1,5,High fare,10,Urban
Bristol,Weston-super-Mare - Bristol,39.8,63,Train,32.15,707.3,0.81,Expensive,16.8,3,Long duration,0,Intercity
London,Reading - London,21.2,180,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Nottingham,West Bridgford - Nottingham,18.1,48,Driving,16.67,366.74,0.92,Expensive,12.4,5,Long duration,16,Intercity
Glasgow,Paisley - Glasgow,22.4,95,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Sheffield,Rotherham - Sheffield,37.7,57,Train,10.17,223.74,0.27,Cost-Effective,11.2,1,N/A,17,Intercity
Bristol,Bath - Bristol,19.7,19,Train,21.89,481.58,1.11,Expensive,15,4,Congestion,3,Intercity
Edinburgh,Livingston - Edinburgh,20.5,15,Train,21.2,466.4,1.03,Expensive,10.3,3,High fare,11,Intercity
Glasgow,Paisley - Glasgow,7.9,10,Train,28.1,618.2,3.56,Expensive,14.7,3,Congestion,5,Urban
Glasgow,Paisley - Glasgow,29.8,32,Driving,18.09,397.98,0.61,Moderate,10.2,4,Moderate fare,10,Intercity
Bristol,Bath - Bristol,24.2,62,Bus,2.15,47.3,0.09,Cost-Effective,3.4,1,N/A,18,Intercity
Birmingham,Wolverhampton - Birmingham,20.2,57,Driving,13.47,296.34,0.67,Moderate,10.9,2,Mild delays,5,Intercity
Glasgow,East Kilbride - Glasgow,35.6,49,Driving,17.38,382.36,0.49,Moderate,11.7,4,Mild delays,5,Intercity
London,Slough - London,43.2,83,Driving,18.98,417.56,0.44,Moderate,6.5,2,Mild delays,11,Intercity
Liverpool,St Helens - Liverpool,42.4,67,Train,20.55,452.1,0.48,Moderate,9,2,Mild delays,11,Intercity
Liverpool,Birkenhead - Liverpool,24.4,38,Driving,10.3,226.6,0.42,Moderate,12.4,2,Moderate fare,16,Intercity
Manchester,Altrincham - Manchester,26.6,65,Bus,3.87,85.14,0.15,Cost-Effective,4.4,2,N/A,14,Intercity
Birmingham,Wolverhampton - Birmingham,33.6,44,Train,13.66,300.52,0.41,Moderate,9.8,2,Moderate fare,18,Intercity
Birmingham,Solihull - Birmingham,32.2,32,Train,15.44,339.68,0.48,Moderate,13.3,2,Moderate fare,13,Intercity
Manchester,Altrincham - Manchester,33.4,51,Train,17.7,389.4,0.53,Moderate,17.6,4,Moderate fare,10,Intercity
London,Reading - London,24.3,27,Train,34.18,751.96,1.41,Expensive,13.5,3,High fare,12,Intercity
Liverpool,Birkenhead - Liverpool,6.7,14,Train,28.05,617.1,4.19,Expensive,16.2,4,High fare,14,Urban
London,Reading - London,40.4,82,Driving,9.19,202.18,0.23,Cost-Effective,7.7,2,N/A,0,Intercity
Nottingham,West Bridgford - Nottingham,29.4,55,Train,37,814,1.26,Expensive,11.5,4,High fare,11,Intercity
Birmingham,Solihull - Birmingham,14.5,18,Train,33.42,735.24,2.3,Expensive,10.7,4,Congestion,10,Suburban
Nottingham,West Bridgford - Nottingham,37.9,75,Train,12.87,283.14,0.34,Cost-Effective,14.2,1,N/A,11,Intercity
Sheffield,Chesterfield - Sheffield,23.1,56,Bus,5.52,121.44,0.24,Cost-Effective,2.7,1,N/A,15,Intercity
Birmingham,Solihull - Birmingham,34.5,48,Train,12.87,283.14,0.37,Cost-Effective,8.2,1,N/A,12,Intercity
Glasgow,East Kilbride - Glasgow,30.7,50,Train,28.21,620.62,0.92,Expensive,13.5,4,Long duration,6,Intercity
Glasgow,East Kilbride - Glasgow,14.3,36,Train,24.9,547.8,1.74,Expensive,17.9,5,High fare,14,Suburban
Liverpool,St Helens - Liverpool,10.5,10,Driving,15.73,346.06,1.5,Expensive,9.2,4,Long duration,8,Suburban
Nottingham,West Bridgford - Nottingham,22.1,42,Train,39.74,874.28,1.8,Expensive,9.3,3,Long duration,3,Intercity
Leeds,Bradford - Leeds,9.2,132,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Suburban
London,Croydon - London,34,180,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Sheffield,Rotherham - Sheffield,8.2,23,Driving,7.2,158.4,0.88,Expensive,13.2,4,Long duration,0,Suburban
London,Reading - London,12.7,21,Bus,4.13,90.86,0.33,Cost-Effective,2.3,1,N/A,17,Suburban
Birmingham,Solihull - Birmingham,25.8,180,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Glasgow,East Kilbride - Glasgow,7.7,10,Train,26.2,576.4,3.4,Expensive,16.8,3,High fare,0,Urban
London,Slough - London,31,53,Train,25.99,571.78,0.84,Expensive,11.2,4,High fare,15,Intercity
Glasgow,Paisley - Glasgow,18.3,80,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Bristol,Weston-super-Mare - Bristol,34.2,70,Train,23.96,527.12,0.7,Moderate,8.6,4,Moderate fare,18,Intercity
Birmingham,Wolverhampton - Birmingham,27.5,67,Bus,5.21,114.62,0.19,Cost-Effective,2.4,1,N/A,2,Intercity
Glasgow,Paisley - Glasgow,23,78,Bus,6.54,143.88,0.28,Cost-Effective,3.4,1,N/A,14,Intercity
Nottingham,Beeston - Nottingham,31.6,86,Bus,2.91,64.02,0.09,Cost-Effective,6,2,N/A,2,Intercity
Nottingham,Beeston - Nottingham,42.1,67,Driving,13.56,298.32,0.32,Cost-Effective,12.7,2,N/A,0,Intercity
Liverpool,St Helens - Liverpool,25.8,31,Train,32.66,718.52,1.27,Expensive,9.3,5,Long duration,7,Intercity
Sheffield,Chesterfield - Sheffield,38,78,Driving,16.95,372.9,0.45,Moderate,11.7,3,Mild delays,19,Intercity
London,Croydon - London,6.4,10,Bus,4.16,91.52,0.65,Moderate,2.4,3,Mild delays,18,Urban
Glasgow,East Kilbride - Glasgow,42.5,54,Train,26.61,585.42,0.63,Moderate,11.1,2,Moderate fare,9,Intercity
Liverpool,St Helens - Liverpool,20.9,52,Train,25.47,560.34,1.22,Expensive,17.2,3,Congestion,14,Intercity
Glasgow,East Kilbride - Glasgow,24.9,26,Train,39.76,874.72,1.6,Expensive,16.5,4,High fare,15,Intercity
Birmingham,Wolverhampton - Birmingham,13.3,15,Train,36.34,799.48,2.73,Expensive,16.7,3,Long duration,8,Suburban
Leeds,Wakefield - Leeds,37.2,88,Driving,17.06,375.32,0.46,Moderate,8.4,3,Mild delays,2,Intercity
Leeds,Bradford - Leeds,8.2,10,Train,30.85,678.7,3.76,Expensive,11.5,5,Congestion,17,Suburban
Nottingham,Beeston - Nottingham,44,62,Train,29.23,643.06,0.66,Moderate,16.2,3,Moderate fare,4,Intercity
Leeds,Wakefield - Leeds,10.3,40,Train,32.94,724.68,3.2,Expensive,9.7,5,High fare,13,Suburban
Birmingham,Wolverhampton - Birmingham,25.1,34,Train,21.96,483.12,0.87,Expensive,9.5,3,Congestion,9,Intercity
London,Slough - London,19.7,34,Train,22.97,505.34,1.17,Expensive,11.1,4,Congestion,2,Intercity
Birmingham,Solihull - Birmingham,25.2,76,Bus,4.64,102.08,0.18,Cost-Effective,2.4,1,N/A,15,Intercity
Glasgow,East Kilbride - Glasgow,30.6,51,Train,29.51,649.22,0.96,Expensive,9.5,5,Long duration,14,Intercity
Nottingham,Beeston - Nottingham,7.5,10,Driving,16.93,372.46,2.26,Expensive,9.7,3,Congestion,6,Urban
Edinburgh,Dunfermline - Edinburgh,7.3,10,Train,13.64,300.08,1.87,Expensive,11,3,Long duration,1,Urban
Leeds,Bradford - Leeds,9,20,Bus,6.15,135.3,0.68,Moderate,2.2,2,Mild delays,5,Suburban
Birmingham,Wolverhampton - Birmingham,25.4,53,Bus,5.74,126.28,0.23,Cost-Effective,4.1,2,N/A,18,Intercity
Sheffield,Chesterfield - Sheffield,22,54,Driving,7.83,172.26,0.36,Cost-Effective,13.1,1,N/A,8,Intercity
Leeds,Bradford - Leeds,23,39,Driving,11.8,259.6,0.51,Moderate,12.6,4,Moderate fare,17,Intercity
Sheffield,Rotherham - Sheffield,34.3,54,Driving,16.77,368.94,0.49,Moderate,6.1,2,Mild delays,1,Intercity
London,Reading - London,21.6,58,Bus,3.56,78.32,0.16,Cost-Effective,5,1,N/A,16,Intercity
London,Reading - London,10.5,20,Driving,13.49,296.78,1.28,Expensive,7.7,3,Long duration,5,Suburban
Leeds,Bradford - Leeds,5.5,10,Driving,13.67,300.74,2.49,Expensive,9.6,3,Congestion,1,Urban
Sheffield,Rotherham - Sheffield,38.8,154,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Manchester,Altrincham - Manchester,8.9,82,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Suburban
Liverpool,St Helens - Liverpool,18,26,Train,32.12,706.64,1.78,Expensive,12.8,4,Congestion,13,Intercity
Manchester,Stockport - Manchester,20,29,Driving,16.99,373.78,0.85,Expensive,13.1,3,Congestion,6,Intercity
Bristol,Weston-super-Mare - Bristol,43.2,59,Driving,17.02,374.44,0.39,Cost-Effective,8.5,1,N/A,18,Intercity
London,Slough - London,32.5,114,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
London,Reading - London,38.6,180,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Nottingham,West Bridgford - Nottingham,6.5,11,Driving,14.92,328.24,2.3,Expensive,11.3,4,Long duration,10,Urban
Glasgow,East Kilbride - Glasgow,40.8,70,Train,29.1,640.2,0.71,Expensive,14.1,4,Congestion,9,Intercity
Birmingham,Wolverhampton - Birmingham,7.7,10,Driving,16.32,359.04,2.12,Expensive,10.1,3,High fare,16,Urban
Sheffield,Chesterfield - Sheffield,32.2,65,Driving,6.58,144.76,0.2,Cost-Effective,6.7,2,N/A,7,Intercity
Nottingham,Beeston - Nottingham,33.7,42,Train,18.9,415.8,0.56,Moderate,11.5,4,Mild delays,5,Intercity
Sheffield,Rotherham - Sheffield,36,66,Train,29.84,656.48,0.83,Expensive,9.9,5,Long duration,13,Intercity
Nottingham,West Bridgford - Nottingham,12,27,Driving,16.7,367.4,1.39,Expensive,8.1,3,Long duration,15,Suburban
Glasgow,Paisley - Glasgow,5.8,10,Driving,7.15,157.3,1.23,Expensive,13.7,5,Long duration,5,Urban
Leeds,Bradford - Leeds,16.8,73,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Leeds,Wakefield - Leeds,20.3,43,Train,16.17,355.74,0.8,Expensive,9.2,3,Congestion,12,Intercity
Sheffield,Chesterfield - Sheffield,29.6,50,Train,25.91,570.02,0.88,Expensive,8.4,5,Long duration,18,Intercity
Leeds,Bradford - Leeds,43.7,77,Train,33.96,747.12,0.78,Expensive,10.9,5,High fare,17,Intercity
Sheffield,Chesterfield - Sheffield,44.2,180,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
London,Reading - London,34.9,91,Driving,17.36,381.92,0.5,Expensive,11.3,4,Long duration,17,Intercity
Bristol,Weston-super-Mare - Bristol,10.1,26,Driving,9.14,201.08,0.9,Expensive,9,4,Long duration,10,Suburban
Nottingham,Beeston - Nottingham,22.3,31,Train,23.18,509.96,1.04,Expensive,14.1,3,High fare,8,Intercity
Manchester,Altrincham - Manchester,42.7,79,Driving,8.76,192.72,0.21,Cost-Effective,13.1,2,N/A,18,Intercity
Edinburgh,Livingston - Edinburgh,30.8,42,Train,18.58,408.76,0.6,Moderate,16.2,2,Mild delays,16,Intercity
Manchester,Altrincham - Manchester,39.5,131,Bus,4.76,104.72,0.12,Expensive,5.4,3,High fare,4,Intercity
London,Reading - London,34.1,58,Driving,16.87,371.14,0.49,Moderate,11.2,3,Moderate fare,1,Intercity
